5	0.0	 0.0	   	   0.0
10	0.0	 0.0	   	   0.0
15	5e-06	-5.465e-06 	   1.5465e-05
20	0.000605 0.000486918906483 0.000723081093517
25	0.006865 0.00597607134851  0.00775392865149
30	0.027425 0.026230370136	   0.028619629864
35	0.057725 0.0562843485626   0.0591656514374
40	0.09375	 0.0921661397682   0.0953338602318
45	0.12602	 0.123646953994	   0.128393046006
50	0.158505 0.155885272423	   0.161124727577
55	0.18776	 0.185971972105	   0.189548027895
60	0.21719	 0.215067199632	   0.219312800368
65	0.24301	 0.240790095383	   0.245229904617
70	0.266695 0.263667986075	   0.269722013925
75	0.29222	 0.289413481652	   0.295026518348
80	0.311895 0.309108024802	   0.314681975198
85	0.33173	 0.329479808537	   0.333980191463
90	0.352575 0.349799614253	   0.355350385747
95	0.372545 0.37053084483	   0.37455915517
100	0.384055 0.381406736795	   0.386703263205
