5	0.0	0.0	0.0
10	0.0	0.0	0.0
15	0.0	0.0	0.0
20	0.0	0.0	0.0
25	0.00071	0.000426376042499	0.000993623957501
30	0.016105	0.0150896451881	0.0171203548119
35	0.054185	0.0523529075405	0.0560170924595
40	0.09726	0.0946591336133	0.0998608663867
45	0.143965	0.142033541518	0.145896458482
50	0.181175	0.179235643357	0.183114356643
55	0.22178	0.218985955366	0.224574044634
60	0.253255	0.249693872756	0.256816127244
65	0.28393	0.281392822142	0.286467177858
70	0.31279	0.310464389427	0.315115610573
75	0.339085	0.336902680008	0.341267319992
80	0.363305	0.360185669523	0.366424330477
85	0.38782	0.385264283663	0.390375716337
90	0.40622	0.402671613634	0.409768386366
95	0.42495	0.422958405887	0.426941594113
100	0.44476	0.442172464914	0.447347535086
