5	6.8	6.16298631594	7.43701368406
10	15.0	14.168326133	15.831673867
15	22.6	21.5546021593	23.6453978407
20	30.4	29.3656883459	31.4343116541
25	36.2	34.5674317546	37.8325682454
30	43.25	42.0652903801	44.4347096199
35	48.05	47.17147784	48.92852216
40	50.9	49.9902131565	51.8097868435
45	53.9	53.2058304314	54.5941695686
50	56.45	55.8336815917	57.0663184083
55	58.3	57.2039981442	59.3960018558
60	59.8	59.0317325904	60.5682674096
65	61.75	60.9340690178	62.5659309822
70	63.1	62.4398793328	63.7601206672
75	64.45	63.7973435244	65.1026564756
80	65.4	64.6499549642	66.1500450358
85	66.25	65.5730665162	66.9269334838
90	68.5	68.0841630665	68.9158369335
95	68.8	68.1451393423	69.4548606577
100	69.75	69.2492660236	70.2507339764
