5	2.5	2.17789409636	2.82210590364
10	5.6	5.18694461567	6.01305538433
15	8.4	8.12001685577	8.67998314423
20	11.55	10.9152524693	12.1847475307
25	14.7	14.0721		15.3279
30	17.35	16.7374339457	17.9625660543
35	19.35	18.6833626825	20.0166373175
40	20.5	19.9420962095	21.0579037905
45	21.85	21.34014028	22.35985972
50	23.2	22.6828441729	23.7171558271
55	23.95	23.5079592763	24.3920407237
60	24.85	24.3875663947	25.3124336053
65	25.65	25.2404481173	26.0595518827
70	26.4	26.0158662952	26.7841337048
75	27.4	26.9869446157	27.8130553843
80	28.0	27.6280641397	28.3719358603
85	28.65	28.2132062363	29.0867937637
90	29.1	28.6732181187	29.5267818813
95	29.9	29.5638830083	30.2361169917
100	30.35	29.9404481173	30.7595518827
