5	2.2	1.7814	2.6186
10	4.6	4.11032368586	5.08967631414
15	6.95	6.29734352441	7.60265647559
20	8.45	7.81525246927	9.08474753073
25	11.4	10.4468954589	12.3531045411
30	13.6	12.6230044212	14.5769955788
35	15.85	14.8863702434	16.8136297566
40	18.3	17.1526115284	19.4473884716
45	21.1	20.082544091	22.117455909
50	22.75	21.6776566023	23.8223433977
55	26.5	25.3386306483	27.6613693517
60	27.7	26.3841317857	29.0158682143
65	29.55	28.5148527634	30.5851472366
70	30.9	29.754622728	32.045377272
75	32.05	30.8402551481	33.2597448519
80	33.7	32.6579156315	34.7420843685
85	34.25	33.49268951	35.00731049
90	35.85	34.8744804691	36.8255195309
95	36.55	35.5839805813	37.5160194187
100	37.85	36.948167382	38.751832618
