5	2.2	1.80991037872	2.59008962128
10	4.6	4.06530851197	5.13469148803
15	6.4	5.66548552879	7.13451447121
20	9.1	8.4398793328	9.7601206672
25	11.55	10.8463462377	12.2536537623
30	12.95	12.1117679059	13.7882320941
35	15.15	14.5763057642	15.7236942358
40	15.95	15.1988031155	16.7011968845
45	17.1	16.4058304314	17.7941695686
50	17.7	17.2419497505	18.1580502495
55	19.25	18.6450084695	19.8549915305
60	19.3	18.7099607511	19.8900392489
65	20.4	19.9103236859	20.8896763141
70	20.9	20.3138813211	21.4861186789
75	21.55	21.0136939391	22.0863060609
80	21.85	21.2763057642	22.4236942358
85	22.15	21.5008857838	22.7991142162
90	22.8	22.3295342151	23.2704657849
95	23.25	22.8819588633	23.6180411367
100	24.25	23.7976479022	24.7023520978
